"","39330_S0","39330_S3","48234_S0","48234_S3","49407_S0","49407_S3","49461_S0","49461_S3","49523_S0","49523_S3","49782_S0","49782_S3","50262_S3","50861_S0","50861_S3","51684_S0","51684_S3","51686_S0","52441_S0","52558_S0","52558_S3","52898_S0","52898_S3","53191_S0","53191_S3","53620_S0","53620_S3","53950_S0","54949_S0","54949_S3","54952_S0","54953_S3","55472_S0","55472_S3"
"IMPRES",0.10349163746614,0.141536817515346,0.0720196823976739,0.0542955838862794,0.0502820646636348,0.240177439797212,0.219518377693283,0.247143318670941,0.0373493377071995,0.286162677998956,0.214147965903725,0.231847212902905,0.168011133477472,0.17696016302592,0.234441710778101,0.202462784860459,0.202870349660777,0.0613882054723029,0.158202241606402,0.230701558189816,0.210430179676433,0.190133949650836,0.262195879619275,0.132508263127811,0.209647357041676,0.123666095081886,0.188247719873754,0.0846864981734138,0.147270061383235,0.170841720718706,-0.00753000820099903,0.239993538606824,0.210522130271627,0.192025149730361
"JCI-CYT",0.176049778307687,0.290696374678639,0.115652595104139,0.0708297626588174,-0.000707925034464763,0.473471440813741,0.438447781213905,0.429766384738627,0.0684079138567011,0.48224598531987,0.377175006520362,0.42583553783673,0.311356607921309,0.360967249152353,0.449178434367898,0.404057528223853,0.441633443868997,0.0763627556913447,0.24932001937479,0.43026938410522,0.435001304072432,0.3605015089981,0.481593949103916,0.33229628525653,0.375181638660159,0.193338052833563,0.382335407429487,0.185848951153173,0.262062669995156,0.310499646037483,-0.0562800402399493,0.457189165021051,0.391482544059019,0.429486940646075
"JCI-Cytokine & Chemokine",0.0646029735067258,0.201755039684018,-0.0106103513805567,-0.0240991914148377,-0.0995174572418676,0.355740209412378,0.305362000223572,0.317937921526251,0.100178857547416,0.369545776353542,0.252533815255058,0.298151805343369,0.241001229645639,0.275952975369825,0.316661698401461,0.257843648693967,0.31972649700041,0.0981480791444648,0.22903081566494,0.305613518649625,0.296978052688453,0.258188322092633,0.346424712151135,0.254695010619667,0.273987405447703,0.13975108991318,0.267867123747066,0.121893281663375,0.150054029884115,0.141204307485934,-0.273726571524388,0.335572157841786,0.268761411484145,0.30198047471774
"Neoadj-IFNγ",0.171924266706422,0.320237784652082,0.141724125079199,0.168592299951549,0.0181916439938877,0.363288733181767,0.389046252469159,0.333942081920167,0.176743319294846,0.473429987700794,0.337292683835862,0.34478401848608,0.354873094554806,0.373251090156908,0.448462599232231,0.349468897916589,0.355219708546085,0.181782266780962,0.302989079795759,0.39382803473594,0.34242853415825,0.345902128135366,0.468901643621184,0.351664119861354,0.38066788416384,0.216626290484887,0.330036152211994,0.211415899519213,0.225224553687898,0.28582236964705,-0.0295031866125005,0.356315456002385,0.375505944616302,0.340848272520592
"JCI-IFNγ-16",0.185723694839006,0.212054745719884,0.0392925640101571,0.0337873383953241,-0.0303719444755123,0.348328756001276,0.345783262291483,0.350066485230337,0.0888105978699871,0.411823186568741,0.325518729779998,0.348154775959272,0.295399470603587,0.325827337235457,0.381295902770011,0.337908594199837,0.352189455980978,0.10118182157104,0.226737418550415,0.337421864320422,0.304305591801398,0.293071451946298,0.392163441822317,0.277357326009602,0.368601573276666,0.195721333681293,0.339532407925205,0.131162310952044,0.188977535862672,0.240506696160426,-0.111353440455331,0.346489538414379,0.352336510540291,0.3485793701094
"JCI-IFNγ-6",0.183665610831625,0.30062107943606,0.111663871809204,0.173287373455065,0.0861809825476678,0.34792870008074,0.37904477982734,0.32925284143842,0.243997267250481,0.467710080119247,0.341115458667164,0.339786348673995,0.379858393888578,0.390503695422645,0.448437985218309,0.355953046394634,0.349555928203217,0.247785851810447,0.31825973542016,0.389851562014782,0.319595056207689,0.365374821439662,0.459083286752376,0.341773802869387,0.38495745605863,0.235755543133967,0.335258679585119,0.217160424818334,0.236339357803863,0.28516241227253,-0.0613812806657971,0.344773616545556,0.369834171790572,0.323333954412769
"JCI-Immunomodulation",0.0818242790073777,0.137305313361651,-0.0182576943140323,-0.0315969893434682,-0.0289142260973247,0.259619445065455,0.309946096331073,0.280336339021785,0.0658891621332937,0.446990585488238,0.271840922075664,0.279938892614949,0.266910102590854,0.279615967409395,0.382914772586134,0.267729835804953,0.289204361974315,0.0107931539856422,0.116650520406389,0.283863675882455,0.208845666592145,0.261395533696003,0.442146707404923,0.190898477283454,0.368805425143453,0.0523014630995852,0.264388801947487,0.0529845741113347,0.0810542265941327,0.167560921082048,-0.0875127307052189,0.257520431229351,0.297525896117445,0.296234195295228
"JCI-NK Cell Activity",-0.0406684302693841,0.128805097060248,0.0347069562949439,0.0546406348969782,-0.162003055255412,0.232031744848914,0.219438131077909,0.205484556056485,0.0841499310704572,0.238701143857819,0.213271731435597,0.219754834382801,0.185793062334662,0.236204776631022,0.261522411416223,0.164424904057528,0.207459294310518,0.0625209583069414,0.139014121241477,0.221301091694922,0.176124296732367,0.191940832370804,0.243712507917583,0.198982823503111,0.207999552889452,0.144286299787623,0.176031148701516,0.146521852528038,-0.0240694511718022,0.152185252803756,-0.0162636461865196,0.210179216811357,0.206844517306904,0.201479190729908
"JCI-T cells",0.378106718336625,0.293726944144278,0.0597309684390953,0.0460278719678057,0.0165350076387077,0.465616499608749,0.45498751723367,0.466929984722585,0.0796475015836345,0.480288407795208,0.454121175988374,0.472463390095763,0.392480530610724,0.385000186309945,0.437697954316801,0.468485672765212,0.47250996758207,0.131609345306853,0.278710362559153,0.432611692812162,0.421311994634274,0.415154450944591,0.479934418899281,0.357687148339978,0.476208219994783,0.316736222379551,0.471969668740917,0.213939710101725,0.304803070387897,0.333066289078511,-0.117049223087528,0.452258076536125,0.46412602004695,0.476562208890711
"T-eff",0.0971492453884852,0.228538600086951,-0.0246133780510527,0.0181230979442271,-0.0381404881684367,0.403030867647972,0.399913048878952,0.366915098441091,0.0620582572511025,0.463958760325446,0.348593255077324,0.369517421278181,0.274846282839575,0.339531706105211,0.42251412955717,0.358077138065959,0.358232407924974,0.0294453760635985,0.186777218806285,0.399652195515807,0.357648593255077,0.355630085087883,0.455580398732998,0.302273150735979,0.346009564623315,0.142078131793056,0.337090863921496,0.118067200794982,0.1950189429228,0.240022358859698,-0.1157629960872,0.392876218868393,0.364194770511148,0.355679771442768
"Hypoxia-12",0.275271655239562,0.299424630301221,0.323075513880455,0.3269565453392,0.293676870205959,0.218934785779955,0.205994904449955,0.235803193708929,0.218123975886039,0.237289113096106,0.254198231145278,0.19993164092317,0.232867824417252,0.258131846509277,0.284601057784623,0.186036768023558,0.164395946629032,0.258252280614858,0.238058364742322,0.247317372704543,0.221898143279268,0.242400777563296,0.259822164624941,0.22311181373763,0.220351158711796,0.26090267906516,0.212815545837899,0.314249899072827,0.247167254136318,0.269400916656206,0.277029823555554,0.222011792364817,0.216793263832112,0.196616310509657
"Chemokine-12",0.0945797157963552,0.198162654402404,0.0987544586023786,0.00671227534952001,-0.0599259097842668,0.248924774345976,0.260591689509238,0.234900964549093,-0.124751981282472,0.34130242800289,0.207151540870044,0.254054317532773,0.187226892683878,0.192711977153605,0.227560757417623,0.192852473305731,0.222173160073861,0.043679966969068,0.132852014542785,0.27955580277781,0.221691458980858,0.188302118337902,0.331582388090514,0.196416487940269,0.207031115596793,0.151403241160211,0.243155830303586,0.119699854342765,0.18786342627106,0.204246997969974,-0.203231984952575,0.256990400385361,0.225209597320824,0.197993485566171
"CCR-Angiogenesis",0.137836427346604,0.200641169015135,0.212654390019633,0.175054052039067,0.147195506846592,0.07252665324685,0.206918661000522,0.102539824548324,0.0560153085315241,0.047950992817913,0.145296851313402,0.0863117870722433,0.174942220234101,0.100236089366038,0.0755411416784711,0.188207957454211,0.205298342404135,0.132709560376749,0.249621014438729,0.207211908844653,0.212351201570616,0.106824225254107,0.0943239146102041,0.159241034816969,0.0978031263202366,0.145291881010959,0.164042346976814,0.165312259250975,0.193772211039042,0.151743333581849,0.180936404980243,0.134536146524516,0.108894356221576,0.156604289371008
"CCR-Glycolysis",0.22156750619494,0.305918135633956,0.309291166306158,0.300024310130971,0.265718019055828,0.175411407528958,0.210267439065828,0.227418512717237,0.124697159305946,0.238243427286465,0.215349085193196,0.184000066300357,0.162893071336422,0.223066170518994,0.255455276265301,0.161705189936711,0.122875280740575,0.199265723544086,0.219147543157389,0.239160582227637,0.164358585481879,0.198260168126656,0.252732817848056,0.192862214045178,0.192921608115164,0.188059581920998,0.188040244316816,0.264204160899917,0.236746144219852,0.235540306473401,0.218498352159872,0.208455229302548,0.200660793560025,0.170135004102335
"CCR-gMDSC",0.0826046573733891,0.171491997164496,0.102825292534025,0.0670133154772541,0.0137190063170463,0.164841131295201,0.056401777491522,0.129859776105189,-0.0541337674298046,0.130189668477802,0.0797828994004991,0.0703966759416169,0.0430480091584406,0.0386494441902615,0.0866566389858165,0.108310735051261,0.121514284536099,-0.0749385870002769,0.21466273414013,0.166069391289663,0.158003719143772,0.0145997011332196,0.176110490381085,0.0969991575962628,0.124630589270251,0.003180123199092,0.155731781791905,0.0854548881998677,0.149138843452324,0.14781141938157,-0.0836277164575058,0.195610467799166,0.130640325022533,0.125654630176905
"CCR-Hypoxia",0.270037557543101,0.269127071649745,0.344244120105648,0.312865715104255,0.259933911282568,0.206631241439667,0.173920465917609,0.221695466015722,0.13447719664533,0.201741304271042,0.189182878155795,0.166509032255532,0.174864310130333,0.209419604488068,0.234809210035752,0.156850817671275,0.134292744761763,0.247915105039461,0.202744016106182,0.267192289126365,0.184516637952349,0.127448402528953,0.20149994701914,0.173618278789211,0.140281544215471,0.211640876107202,0.183568869231464,0.284252126102296,0.257449697616646,0.260395040991488,0.227664642928625,0.193335007790149,0.156929307834496,0.143319113532097
"CCR-mMDSC",0.163213549240163,0.204628066178544,0.149102260282251,0.0998774810544322,0.0966751398254334,0.370779139913339,0.258876488449522,0.354086711913823,0.049380262912105,0.340869866199788,0.245381640105634,0.315041627139503,0.213968258619364,0.217516912742337,0.279410041059413,0.272989791919244,0.26846831172922,0.070950556554672,0.258714045542618,0.300633838670569,0.309137459297705,0.207891392174171,0.335195352704391,0.185350103838927,0.287644632791124,0.189541936641772,0.295751028316711,0.144552760064318,0.207066724293914,0.215812452613188,-0.00973375479362243,0.350267930070801,0.280865434273805,0.281883861562748
"CCR-Proliferation",0.0994893455416802,0.178138696263964,0.202567908549013,0.261137331968219,0.222776473462219,0.0352014275440325,0.151256594651834,0.109093117133231,0.115898801336146,0.202046162826082,0.162745179248525,0.0955973997302295,0.153716854756029,0.153122980714186,0.206354557544534,0.0693900752135156,0.0269882759015251,0.0793420282764069,0.141818314555986,0.100158857796299,0.0479616466877658,0.222637130675805,0.224127607105289,0.0798578071797688,0.185617578110056,0.115279480563787,0.0897353504927364,0.17519828267913,0.101245345441999,0.132708034041759,0.148702971370849,0.0851205420399292,0.158322888474176,0.123003879485688
"CCR-RAS",0.406745928217361,0.419511013380045,0.407968394767247,0.408024300249711,0.418258730572845,0.25932689799113,0.309634378144683,0.276888673549253,0.349375722112482,0.289046252469159,0.38364950989527,0.254097871864634,0.331847489843837,0.406980731243711,0.390283627147702,0.257627371324215,0.290674965524952,0.410767395922627,0.284398643360292,0.353866795870448,0.287905780626887,0.330531847489844,0.260154299131601,0.343583914129179,0.264500018635161,0.391066303902203,0.315333010323879,0.396645671052141,0.445100816220044,0.423651746114569,0.377015392642839,0.260948156982595,0.276653870522903,0.258287056017293
"CCR-Stroma",0.20971060467154,0.265210089487818,0.266444907794284,0.275099183007862,0.226767648084896,0.31644450213781,0.321644206819897,0.248633343339526,0.0737215736225935,0.207039762447569,0.209287099312818,0.259458692001266,0.269839441167642,0.192442619891771,0.201822208880632,0.250583739665901,0.291228084408999,0.178690865427521,0.400887576364831,0.371904232619648,0.403799378534282,0.150135083605799,0.250415797885719,0.279429971522915,0.191678363094997,0.255275562442701,0.260491493383743,0.233052078178116,0.33231702864746,0.331770203720681,0.172459981988853,0.371114013808546,0.187930097276423,0.229376019211891
"immunosupression-18",0.19024924712208,0.299231173909622,0.258397643813145,0.243615553815755,0.171747298131371,0.281416860323023,0.29190951380863,0.221567725873732,-0.000157410514193879,0.24395937151781,0.156656600678522,0.198598217947284,0.2161059952694,0.186177285662802,0.200789538000141,0.202270439548149,0.223203966744958,0.0892455479749966,0.325717564113717,0.337678692001475,0.351942984254806,0.140470243199244,0.275277850269462,0.244187202525196,0.131342504566976,0.21034601316449,0.206006868069277,0.175386380676617,0.311070101529782,0.28157219964624,0.0689416628349634,0.307544934488229,0.145791132817192,0.155316540116898
"Immune Infiltration",0.225013043154207,0.237598356030196,0.033385151034402,0.0328740723389304,-0.00484460013415816,0.428672579563241,0.399839223160383,0.415043814350664,0.0387514773368541,0.442562207859964,0.383655064470448,0.415751871293348,0.308963042621834,0.32923050713913,0.393732897496779,0.386891896208435,0.418951436876457,0.0575975042323704,0.207769460918451,0.378847730491168,0.381701253207551,0.340074958208669,0.446544362695514,0.288141909517776,0.391544841831791,0.199501698271915,0.367513495671802,0.16445554147723,0.229021816671813,0.276999329209212,-0.0697356232498216,0.411530148319296,0.384522833505467,0.416167122733419
"IFNγ & T-eff",0.127468974769873,0.252012447359594,0.0141197406178959,0.0732540155778333,-0.0384787388663213,0.391653933589237,0.40749263966012,0.362012261021876,0.123234450117393,0.457533633958186,0.346639399247196,0.370434725897216,0.291492751462751,0.333227741959527,0.406919651175791,0.357274624529497,0.349951552193195,0.104023031342004,0.215331867476615,0.376295047143443,0.339316326910893,0.357162821898409,0.458707561584616,0.315586218462341,0.357861588342712,0.151036037714754,0.332133007863452,0.153197555249133,0.186128088547684,0.247218909551671,-0.118357060336153,0.384023404017441,0.37796742816681,0.357186114113219
"GSEA-COMPLEMENT",0.156730603205585,0.188662775421343,0.161639765774558,0.160305731766826,0.13813220224466,0.211457340189933,0.190566044818137,0.21883675537705,0.10703483352727,0.21667861566758,0.195263503622236,0.198770691790849,0.175467700161405,0.18353496490372,0.202025074133854,0.187133928906573,0.201663976577456,0.122935325250554,0.185505423970572,0.210383994594798,0.211667542509666,0.164753575316242,0.221225366915656,0.167907548515446,0.195148267707669,0.170703614729177,0.216787095079014,0.169739499268045,0.200380240981945,0.190419466236252,0.10112026575579,0.212435907060546,0.194851919972974,0.190578244059908
"GSEA-EMT",0.239256409293945,0.301253894373334,0.294733305806839,0.280889606246012,0.232017754588792,0.260037536128524,0.258748920836305,0.231084231072407,0.122995383056192,0.203269959836342,0.210754476183326,0.216664164258098,0.246212229270673,0.228152096392778,0.240865958485042,0.218824743815923,0.244411996546676,0.220312300589317,0.331613302803949,0.329076235877032,0.335036597725311,0.18144851919973,0.208749671558875,0.256702075747907,0.189475244923239,0.254920798768815,0.252417514357569,0.254115085770054,0.327275815472392,0.32700255245674,0.204933748733156,0.300070755602267,0.196201531474044,0.204955707368342
"GSEA-Glycolysis",0.19589805187493,0.212753650388499,0.241536166059833,0.229481438384445,0.20685203258136,0.17694737434781,0.159258473781014,0.185005818099921,0.164105701737923,0.170075822979618,0.175802710108479,0.153275402574978,0.191101497691528,0.20717672009309,0.209877632221013,0.149316279418941,0.151553432678953,0.188592395180361,0.18068015464885,0.190921887316542,0.178153034795991,0.170984760331819,0.17511823880485,0.207390112983747,0.171448894561015,0.203122442851244,0.169851356931046,0.215343830937277,0.209877819901655,0.202807139371645,0.181758379940693,0.185624788859277,0.159673248001201,0.162955219398671
"GSEA-MYC",0.331312557080123,0.346051441804775,0.351076756049597,0.372839725992774,0.354465820582531,0.319505152819121,0.311750932426565,0.324983147099509,0.334631833440908,0.345263589926209,0.335432322637133,0.318621483666361,0.337715527566517,0.345868860857097,0.357550080558185,0.307789604882003,0.303092106429603,0.321927556859442,0.310460982941885,0.307237335238613,0.310063567593994,0.343215401381957,0.353393723364967,0.321221187387278,0.343433819499117,0.316900922297849,0.325929436990523,0.353614593498987,0.334376823687539,0.337369793189353,0.330844221859994,0.316331111303081,0.335100734511081,0.327247301744063
"GSEA-OXPHOS",0.265816035434105,0.288996471603919,0.303342029203108,0.314632521301753,0.294112458241057,0.304271611425997,0.254789422318982,0.303744791862167,0.309341053263766,0.294504335422844,0.274745505048609,0.276569573214219,0.315947224203296,0.306517961037499,0.319267107090575,0.25839664427011,0.253388198641192,0.28372133178184,0.260843436807928,0.263365676964078,0.279016928793964,0.292447355579746,0.298609661799482,0.301663225854885,0.289038887429151,0.295146578581885,0.276273225479524,0.314593483728088,0.28853571562629,0.290620847565782,0.270428662587741,0.294312150444803,0.27885176982846,0.27071600165159
"GSEA-WNTβ",0.2012495135746,0.206564210818101,0.208822646189712,0.19958189626834,0.188785473516247,0.167157978531537,0.186310256779304,0.177814914913314,0.199496605239357,0.166619578911082,0.188905414025754,0.166906547685681,0.184970476865697,0.171724602375,0.174039009984381,0.173948388266087,0.179900991330522,0.192391684835433,0.183161596292683,0.191114984745344,0.167930040033477,0.187137402070795,0.156650301450481,0.179794377544294,0.168883344972005,0.178902375532847,0.195614974972414,0.199857315216097,0.211598158424532,0.215721446606927,0.217692024755721,0.184740368777087,0.169335565115258,0.181181245213485
"PIP ARG",-0.0600089432106126,-0.12434043821732,-0.119839022208973,-0.0868236696974214,-0.181748397674765,-0.0770681174541661,-0.120979281562081,-0.0496348188999851,-0.201483082426591,-0.117655388284394,-0.0696825160232524,-0.0967878968549709,-0.0990236995081234,-0.111372782829036,-0.0744894917275302,-0.0584513340289164,-0.0264868087643464,-0.203137576389924,-0.0650693098822477,-0.0881576986138023,-0.117640482933373,-0.177753763601133,-0.0615963630943508,-0.0312788791176032,-0.0339320315993442,-0.0642271575495603,-0.000231032940825771,-0.0860038753912655,0.0700029810702042,0.00050678193471454,-0.0499403785959159,-0.0531748397674765,-0.0557460128186019,-0.0860784021463705
"PD1 Neoadjuvant",0.142660945785885,0.252795479594731,0.146755641303806,0.129342899893248,0.0824141380676762,0.334905925940362,0.288529330882146,0.311444793067384,0.040413193970772,0.335726055991876,0.228123369213347,0.275945341986111,0.224370800555198,0.227060177516202,0.292310590558598,0.257978268448325,0.266354421773127,0.103965964873532,0.269198621964977,0.324526814733975,0.314666307216928,0.205643685702345,0.338979509199531,0.218631514214505,0.254666891864093,0.177907049762135,0.260395892745395,0.179009217936975,0.218275312515564,0.234006110645559,0.00216535987198396,0.327933467152573,0.246211161563996,0.252076038777265
"Immunoinhibitors",-0.00824212142680392,0.0139266937618853,-0.07010125114827,-0.0575694300851838,-0.0777959316495428,0.0984715720537339,0.0893464267191848,0.0952428569975832,-0.0542152951265893,0.14370070065659,0.0734452169255853,0.0877159679874173,0.0323125735147064,0.0457291133490842,0.110340701470125,0.0772925571762217,0.0968987386825486,-0.0799162059462593,0.0361294062215052,0.0799433237630038,0.0691487378351169,0.0493934083366948,0.124133501011834,0.025919548217173,0.115267669799904,-0.0276584782159189,0.0713435861278808,-0.027949994745923,0.0230806517767255,0.0374564843784426,-0.120286160761197,0.0984563182818151,0.0793196139778787,0.0881413787375979
"Immunostimulators",0.0631233925862222,0.0896444015350041,0.00878408528521712,0.00222218616386904,-0.00992397997679639,0.155158733378226,0.161426125899543,0.173096051339883,-0.0587268877224012,0.196073245332922,0.136513950526136,0.154597304818388,0.106925367321937,0.107554946169386,0.138938964926941,0.166564170797602,0.159575521065741,0.007570361115393,0.0864145646900379,0.155524635517658,0.134686873767819,0.103750699757417,0.21059493578458,0.0845550354138102,0.179350462854037,0.0889215216985648,0.178023966184476,0.0315876583074389,0.094803540569704,0.0981802250582117,-0.0655005395231103,0.163913611397324,0.178786600355355,0.159908159374315
"MHC-I non-classical",-0.170715651936309,-0.0720247410388256,-0.203753384504558,-0.0496932210547234,-0.350957597436471,0.105770425019251,0.0458305387882852,0.0573440643863179,-0.0546861415406016,0.0219464937774797,0.0376456268475048,0.0708696624189582,0.00449611247733306,0.0480785950269519,0.0749683284894552,-0.0314355267406911,-0.0125816628164046,-0.162803984400229,-0.096380753657749,-0.0535434831209479,-0.0631815584867228,-0.014568894850585,0.0511339642795042,-0.0472837022132797,0.0270511960652806,0.0382790570583998,0.0487120252378469,-0.0848051270586482,-0.367165958715254,-0.123456790123457,-0.302332513600119,0.0574682663884543,0.0160344784757931,0.0138857838388354
