"","39330_S0","39330_S3","48234_S0","48234_S3","49407_S0","49407_S3","49461_S0","49461_S3","49523_S0","49523_S3","49782_S0","49782_S3","50262_S3","50861_S0","50861_S3","51684_S0","51684_S3","51686_S0","52441_S0","52558_S0","52558_S3","52898_S0","52898_S3","53191_S0","53191_S3","53620_S0","53620_S3","53950_S0","54949_S0","54949_S3","54952_S0","54953_S3","55472_S0","55472_S3","FD45571446","FD45571447","FD45571448","FD45571449","FD45571450","FD45571451","FD45571452","FD45571453","FD45571454","FD45571455","FD45571456","FD45571457","FD45571458","FD45571459","FD45571460","FD45571461","FD45571462","FD45571463","FD45571464","FD45571465","FD45571468","FD45571469","FD45571470","FD45571471","FD45571472","FD45571473","FD45571474","FD45571475","FD45571476","FD45571477","FD45571478","FD45571479"
"IMPRES",0.10349163746614,0.141536817515346,0.0720196823976739,0.0542955838862794,0.0502820646636348,0.240177439797212,0.219518377693283,0.247143318670941,0.0373493377071995,0.286162677998956,0.214147965903725,0.231847212902905,0.168011133477472,0.17696016302592,0.234441710778101,0.202462784860459,0.202870349660777,0.0613882054723029,0.158202241606402,0.230701558189816,0.210430179676433,0.190133949650836,0.262195879619275,0.132508263127811,0.209647357041676,0.123666095081886,0.188247719873754,0.0846864981734138,0.147270061383235,0.170841720718706,-0.00753000820099903,0.239993538606824,0.210522130271627,0.192025149730361,-0.0359828969964603,0.223281814039884,0.224876458837136,0.235919812147338,0.230084463603547,0.173630533066975,0.094115585462447,0.196726597273333,0.0945852171170224,0.218806294466057,0.263358216801598,0.179900466126941,0.100469631654575,0.184309396137805,-0.0316300424070374,0.0708442855640837,0.0239266813864648,-0.0395577051133775,0.196751130270213,-0.034602039743455,0.22956927066905,-0.0531594995268637,0.153019310973259,0.155696912347107,0.0685802404233694,0.0583254477271931,0.224445379034802,0.233953667683034,0.170360635054148,0.226618301615673,0.201482493954369,0.0595941541373147
"JCI-CYT",0.176049778307687,0.290696374678639,0.115652595104139,0.0708297626588174,-0.000707925034464763,0.473471440813741,0.438447781213905,0.429766384738627,0.0684079138567011,0.48224598531987,0.377175006520362,0.42583553783673,0.311356607921309,0.360967249152353,0.449178434367898,0.404057528223853,0.441633443868997,0.0763627556913447,0.24932001937479,0.43026938410522,0.435001304072432,0.3605015089981,0.481593949103916,0.33229628525653,0.375181638660159,0.193338052833563,0.382335407429487,0.185848951153173,0.262062669995156,0.310499646037483,-0.0562800402399493,0.457189165021051,0.391482544059019,0.429486940646075,-0.192277383766745,0.354636196480168,0.211137378513265,0.334988179669031,0.184528500131337,0.0765169424743893,0.00701339637509846,0.290911478854741,0.0405568689256632,0.147149986866299,0.42936695560809,0.0674284213291305,-0.0263987391646966,0.0771210927239296,-0.091725768321513,0.106645652744944,-0.052534804307854,-0.180483320199632,0.311400052534804,-0.152771210927239,0.295219332807985,-0.210139217231416,0.171079590228526,0.0872340425531914,-0.0633569739952718,0.0303913842920935,0.0668768058838981,0.275413711583924,0.081297609666404,0.31090097189388,0.313606514315734,-0.0315208825847124
"JCI-Cytokine & Chemokine",0.0646029735067258,0.201755039684018,-0.0106103513805567,-0.0240991914148377,-0.0995174572418676,0.355740209412378,0.305362000223572,0.317937921526251,0.100178857547416,0.369545776353542,0.252533815255058,0.298151805343369,0.241001229645639,0.275952975369825,0.316661698401461,0.257843648693967,0.31972649700041,0.0981480791444648,0.22903081566494,0.305613518649625,0.296978052688453,0.258188322092633,0.346424712151135,0.254695010619667,0.273987405447703,0.13975108991318,0.267867123747066,0.121893281663375,0.150054029884115,0.141204307485934,-0.273726571524388,0.335572157841786,0.268761411484145,0.30198047471774,-0.204381863079914,0.282824567855829,0.167078232543477,0.234750170756055,0.200520149214522,0.0927468081752745,0.0369621184258919,0.133899017495928,0.0773130877948826,0.155716387327274,0.296852834550517,0.105422161508958,0.0490595281878842,0.123312142069038,-0.0854042977985604,0.0877686124100246,-0.0614327746545474,-0.339160931014554,0.180804392371145,-0.230087216939001,0.179569694740713,-0.175300793358903,0.134476961067619,0.0965165764724426,-0.0467740240634687,0.0665817264750697,0.0560999316975779,0.222902327536384,0.0912888141648716,0.19633005831976,0.184088162664845,-0.0087479640624179
"Neoadj-IFNγ",0.171924266706422,0.320237784652082,0.141724125079199,0.168592299951549,0.0181916439938877,0.363288733181767,0.389046252469159,0.333942081920167,0.176743319294846,0.473429987700794,0.337292683835862,0.34478401848608,0.354873094554806,0.373251090156908,0.448462599232231,0.349468897916589,0.355219708546085,0.181782266780962,0.302989079795759,0.39382803473594,0.34242853415825,0.345902128135366,0.468901643621184,0.351664119861354,0.38066788416384,0.216626290484887,0.330036152211994,0.211415899519213,0.225224553687898,0.28582236964705,-0.0295031866125005,0.356315456002385,0.375505944616302,0.340848272520592,-0.00682188469017708,0.277637042098071,0.247075208913649,0.274205076995848,0.232506438219372,0.210895043885006,0.124333841383298,0.252683029379303,0.221148893677406,0.165743417249172,0.337988122142219,0.225800178693436,0.158974089451832,0.274436327324329,0.0348767540862984,0.248341830031009,0.0825038103747306,-0.132443369947969,0.384527250748936,-0.129184842592106,0.385263047248647,-0.0853366268986178,0.308209386661061,0.238476901245598,0.158805907394755,0.25950491406948,0.199595311925159,0.288342881168865,0.201602985231513,0.37302780259631,0.35656698375992,0.110327429442371
"JCI-IFNγ-16",0.185723694839006,0.212054745719884,0.0392925640101571,0.0337873383953241,-0.0303719444755123,0.348328756001276,0.345783262291483,0.350066485230337,0.0888105978699871,0.411823186568741,0.325518729779998,0.348154775959272,0.295399470603587,0.325827337235457,0.381295902770011,0.337908594199837,0.352189455980978,0.10118182157104,0.226737418550415,0.337421864320422,0.304305591801398,0.293071451946298,0.392163441822317,0.277357326009602,0.368601573276666,0.195721333681293,0.339532407925205,0.131162310952044,0.188977535862672,0.240506696160426,-0.111353440455331,0.346489538414379,0.352336510540291,0.3485793701094,-0.125938389096284,0.288351998878315,0.269525795841585,0.295882480093006,0.206591653960075,0.173078383604699,0.00491321543953127,0.279042594832069,0.167659825554562,0.248327695696117,0.337507521718048,0.217609875504612,0.0129110655426444,0.238363975206081,-0.0714986767618346,0.147849226796595,-0.0121048542101174,-0.193490719806509,0.2952106373159,-0.141691641691642,0.294468689205531,-0.167052245999614,0.201059174743385,0.193969772917141,0.0695561748193327,0.143131722079091,0.251520409415146,0.320060056902162,0.229843256159046,0.27282366756051,0.289339315655105,0.0383593015171962
"JCI-IFNγ-6",0.183665610831625,0.30062107943606,0.111663871809204,0.173287373455065,0.0861809825476678,0.34792870008074,0.37904477982734,0.32925284143842,0.243997267250481,0.467710080119247,0.341115458667164,0.339786348673995,0.379858393888578,0.390503695422645,0.448437985218309,0.355953046394634,0.349555928203217,0.247785851810447,0.31825973542016,0.389851562014782,0.319595056207689,0.365374821439662,0.459083286752376,0.341773802869387,0.38495745605863,0.235755543133967,0.335258679585119,0.217160424818334,0.236339357803863,0.28516241227253,-0.0613812806657971,0.344773616545556,0.369834171790572,0.323333954412769,0.0560138721034102,0.280139421645386,0.290823743716393,0.286768955914035,0.263114567460109,0.244110486399383,0.190767694813725,0.290096859509922,0.294957350288126,0.200077067241168,0.33815879354737,0.301919674916365,0.216882980400399,0.335951868004834,0.100143625313086,0.286839017042369,0.167481127283555,-0.0381132538139527,0.434002417108928,-0.100485173313716,0.409025624857688,-0.0273763858966949,0.358642915944161,0.309389942725028,0.265172613104934,0.345191179303943,0.281707039391869,0.321545548491058,0.267029233005798,0.399076944634193,0.374240274639623,0.184830014187378
"JCI-Immunomodulation",0.0818242790073777,0.137305313361651,-0.0182576943140323,-0.0315969893434682,-0.0289142260973247,0.259619445065455,0.309946096331073,0.280336339021785,0.0658891621332937,0.446990585488238,0.271840922075664,0.279938892614949,0.266910102590854,0.279615967409395,0.382914772586134,0.267729835804953,0.289204361974315,0.0107931539856422,0.116650520406389,0.283863675882455,0.208845666592145,0.261395533696003,0.442146707404923,0.190898477283454,0.368805425143453,0.0523014630995852,0.264388801947487,0.0529845741113347,0.0810542265941327,0.167560921082048,-0.0875127307052189,0.257520431229351,0.297525896117445,0.296234195295228,-0.134776365101047,0.148821407306224,0.149311757906903,0.154740639557283,0.033676578753809,0.0322405519946761,-0.0733949774088473,0.191551959651151,0.0759167804980561,0.159661658085531,0.22473818780428,0.0950579664460089,-0.0350425554271304,0.154810689643095,-0.136002241602746,0.0623971139364645,-0.0839200028020034,-0.176140940772652,0.269815418023887,-0.15934643269938,0.268642079086547,-0.200991208714231,0.0857763300760043,0.0287730727470141,-0.0364785821862632,0.0337116037967147,0.182270323281146,0.198189205281777,0.118945045707681,0.238468004623306,0.306469125424679,-0.0280725718889006
"JCI-NK Cell Activity",-0.0406684302693841,0.128805097060248,0.0347069562949439,0.0546406348969782,-0.162003055255412,0.232031744848914,0.219438131077909,0.205484556056485,0.0841499310704572,0.238701143857819,0.213271731435597,0.219754834382801,0.185793062334662,0.236204776631022,0.261522411416223,0.164424904057528,0.207459294310518,0.0625209583069414,0.139014121241477,0.221301091694922,0.176124296732367,0.191940832370804,0.243712507917583,0.198982823503111,0.207999552889452,0.144286299787623,0.176031148701516,0.146521852528038,-0.0240694511718022,0.152185252803756,-0.0162636461865196,0.210179216811357,0.206844517306904,0.201479190729908,-0.329787234042553,0.0843708957184135,0.0193328079852902,0.0944838455476753,-0.0241660099816128,-0.0295770948253218,-0.189992119779354,0.0809824008405569,-0.061885999474652,-0.0220120830049908,0.105831363278172,-0.00128710270554244,-0.135592329918571,0.0254793800893092,-0.279669030732861,0.0293669556080903,-0.253296558970318,-0.323588127134226,0.116889939584975,-0.316916206987129,0.079826635145784,-0.256553716837405,0.0307591279222484,-0.033832413974258,-0.208878381928027,-0.0405831363278172,-0.037063304439191,0.0722090885211453,-0.0628053585500394,0.120330969267139,0.105700026267402,-0.123850801155766
"JCI-T cells",0.378106718336625,0.293726944144278,0.0597309684390953,0.0460278719678057,0.0165350076387077,0.465616499608749,0.45498751723367,0.466929984722585,0.0796475015836345,0.480288407795208,0.454121175988374,0.472463390095763,0.392480530610724,0.385000186309945,0.437697954316801,0.468485672765212,0.47250996758207,0.131609345306853,0.278710362559153,0.432611692812162,0.421311994634274,0.415154450944591,0.479934418899281,0.357687148339978,0.476208219994783,0.316736222379551,0.471969668740917,0.213939710101725,0.304803070387897,0.333066289078511,-0.117049223087528,0.452258076536125,0.46412602004695,0.476562208890711,-0.154153312667472,0.419035359638523,0.448746913255924,0.44665843534913,0.340855356486103,0.288170545893974,-0.006488730100352,0.472468869857616,0.296629538170546,0.463129827142332,0.468594020911049,0.375991698628698,0.00282404245258239,0.392633846477171,-0.0325881363946829,0.179530289497189,0.0251274102873956,-0.28077549519256,0.393198654967688,-0.0775101140125046,0.422686912205117,-0.187450743445594,0.252640151316135,0.373036305364367,0.118780539063731,0.128224662428414,0.453935270319971,0.471588819418904,0.426351599852887,0.324948773183418,0.358154258393317,0.133005831976042
"T-eff",0.0971492453884852,0.228538600086951,-0.0246133780510527,0.0181230979442271,-0.0381404881684367,0.403030867647972,0.399913048878952,0.366915098441091,0.0620582572511025,0.463958760325446,0.348593255077324,0.369517421278181,0.274846282839575,0.339531706105211,0.42251412955717,0.358077138065959,0.358232407924974,0.0294453760635985,0.186777218806285,0.399652195515807,0.357648593255077,0.355630085087883,0.455580398732998,0.302273150735979,0.346009564623315,0.142078131793056,0.337090863921496,0.118067200794982,0.1950189429228,0.240022358859698,-0.1157629960872,0.392876218868393,0.364194770511148,0.355679771442768,-0.166946911180005,0.232121275813147,0.171124305956947,0.242323927626854,0.126250153258718,0.045206943057818,-0.00419491005902656,0.244145516963551,0.0366156971958034,0.123123675406792,0.344271626994553,0.103979472089398,-0.035757448373706,0.0770584835268772,-0.101544847879775,0.10316501147251,-0.0611370921128685,-0.164678682150176,0.265330250643687,-0.124866445974112,0.26427933371867,-0.236570157462386,0.242464049883523,0.0872698929816265,-0.0260714973814653,0.0462666176238768,0.123649133869301,0.248068940150281,0.0622931007303873,0.309985462315871,0.277774858564097,0.075876201986233
