"","39330_S0","39330_S3","48234_S0","48234_S3","49407_S0","49407_S3","49461_S0","49461_S3","49523_S0","49523_S3","49782_S0","49782_S3","50262_S3","50861_S0","50861_S3","51684_S0","51684_S3","51686_S0","52441_S0","52558_S0","52558_S3","52898_S0","52898_S3","53191_S0","53191_S3","53620_S0","53620_S3","53950_S0","54949_S0","54949_S3","54952_S0","54953_S3","55472_S0","55472_S3","FD45571446","FD45571447","FD45571448","FD45571449","FD45571450","FD45571451","FD45571452","FD45571453","FD45571454","FD45571455","FD45571456","FD45571457","FD45571458","FD45571459","FD45571460","FD45571461","FD45571462","FD45571463","FD45571464","FD45571465","FD45571468","FD45571469","FD45571470","FD45571471","FD45571472","FD45571473","FD45571474","FD45571475","FD45571476","FD45571477","FD45571478","FD45571479"
"IMPRES",0.10349163746614,0.141536817515346,0.0720196823976739,0.0542955838862794,0.0502820646636348,0.240177439797212,0.219518377693283,0.247143318670941,0.0373493377071995,0.286162677998956,0.214147965903725,0.231847212902905,0.168011133477472,0.17696016302592,0.234441710778101,0.202462784860459,0.202870349660777,0.0613882054723029,0.158202241606402,0.230701558189816,0.210430179676433,0.190133949650836,0.262195879619275,0.132508263127811,0.209647357041676,0.123666095081886,0.188247719873754,0.0846864981734138,0.147270061383235,0.170841720718706,-0.00753000820099903,0.239993538606824,0.210522130271627,0.192025149730361,-0.0360084144096766,0.223232535717416,0.224817249539837,0.235878692260496,0.230020159523183,0.173591024629678,0.0940713471820492,0.19667806117977,0.0945481637303883,0.21876588658077,0.263309667806118,0.179842229818564,0.100403190463669,0.18427031291086,-0.0316609694101148,0.0707774563940748,0.0239056884915418,-0.0396055745464107,0.196685073187834,-0.0346235428170742,0.229522306950653,-0.0531843281619773,0.152989744938207,0.15564729599439,0.0685616618459112,0.0583066000525901,0.22440003506004,0.233922342010693,0.170309404855816,0.226545709527566,0.201425190638969,0.0595477254798843
"JCI-CYT",0.176049778307687,0.290696374678639,0.115652595104139,0.0708297626588174,-0.000707925034464763,0.473471440813741,0.438447781213905,0.429766384738627,0.0684079138567011,0.48224598531987,0.377175006520362,0.42583553783673,0.311356607921309,0.360967249152353,0.449178434367898,0.404057528223853,0.441633443868997,0.0763627556913447,0.24932001937479,0.43026938410522,0.435001304072432,0.3605015089981,0.481593949103916,0.33229628525653,0.375181638660159,0.193338052833563,0.382335407429487,0.185848951153173,0.262062669995156,0.310499646037483,-0.0562800402399493,0.457189165021051,0.391482544059019,0.429486940646075,-0.192269287365987,0.354582720201808,0.211057389110784,0.334980029430313,0.18443872188354,0.0764137061173008,0.00696342232499469,0.290887113727139,0.0405192348118563,0.147072734916964,0.429340971200336,0.0673743956274964,-0.0264347277696027,0.0770969098171116,-0.0917595122976666,0.106579777170486,-0.0525804078200546,-0.180523439142317,0.311383224721463,-0.152801135169224,0.295170275383645,-0.2101114147572,0.17101114147572,0.0871873029220097,-0.0633540046247635,0.0304025646415809,0.0668225772545722,0.275409922219886,0.0812749632121085,0.310805129283162,0.313511667017027,-0.0315587555181837
"JCI-Cytokine & Chemokine",0.0646029735067258,0.201755039684018,-0.0106103513805567,-0.0240991914148377,-0.0995174572418676,0.355740209412378,0.305362000223572,0.317937921526251,0.100178857547416,0.369545776353542,0.252533815255058,0.298151805343369,0.241001229645639,0.275952975369825,0.316661698401461,0.257843648693967,0.31972649700041,0.0981480791444648,0.22903081566494,0.305613518649625,0.296978052688453,0.258188322092633,0.346424712151135,0.254695010619667,0.273987405447703,0.13975108991318,0.267867123747066,0.121893281663375,0.150054029884115,0.141204307485934,-0.273726571524388,0.335572157841786,0.268761411484145,0.30198047471774,-0.204417639020288,0.282770945022601,0.167008304425523,0.234705140334279,0.200462524965836,0.0927020918742774,0.0369494376116892,0.133830022075055,0.0772626931567328,0.155668558814254,0.296817512877116,0.105355828865763,0.0490118784820771,0.123252391464312,-0.0854225796278776,0.0877220645432566,-0.0614553768527278,-0.339180594975297,0.180726374434984,-0.230093030589719,0.179517502365184,-0.175339009776096,0.134447598023757,0.0964863870493009,-0.0468043729633134,0.0665405234941658,0.0560680121938401,0.222866077998528,0.0912435614422369,0.196270892462945,0.184037632713129,-0.00876432250604436
"Neoadj-IFNγ",0.171924266706422,0.320237784652082,0.141724125079199,0.168592299951549,0.0181916439938877,0.363288733181767,0.389046252469159,0.333942081920167,0.176743319294846,0.473429987700794,0.337292683835862,0.34478401848608,0.354873094554806,0.373251090156908,0.448462599232231,0.349468897916589,0.355219708546085,0.181782266780962,0.302989079795759,0.39382803473594,0.34242853415825,0.345902128135366,0.468901643621184,0.351664119861354,0.38066788416384,0.216626290484887,0.330036152211994,0.211415899519213,0.225224553687898,0.28582236964705,-0.0295031866125005,0.356315456002385,0.375505944616302,0.340848272520592,-0.00685594111461618,0.277602523659306,0.247029442691903,0.274185068349106,0.232460567823344,0.210846477392219,0.124290220820189,0.252644584647739,0.221114616193481,0.165672975814932,0.33794952681388,0.22574658254469,0.158937960042061,0.274400630914826,0.0348527865404836,0.248296529968454,0.0825026288117772,-0.132476340694006,0.384500525762355,-0.129195583596215,0.385226077812829,-0.08534174553102,0.3081650893796,0.238454258675079,0.158790746582545,0.259495268138801,0.199542586750789,0.288322818086225,0.201572029442692,0.372970557308097,0.356529968454259,0.110294426919033
"JCI-IFNγ-16",0.185723694839006,0.212054745719884,0.0392925640101571,0.0337873383953241,-0.0303719444755123,0.348328756001276,0.345783262291483,0.350066485230337,0.0888105978699871,0.411823186568741,0.325518729779998,0.348154775959272,0.295399470603587,0.325827337235457,0.381295902770011,0.337908594199837,0.352189455980978,0.10118182157104,0.226737418550415,0.337421864320422,0.304305591801398,0.293071451946298,0.392163441822317,0.277357326009602,0.368601573276666,0.195721333681293,0.339532407925205,0.131162310952044,0.188977535862672,0.240506696160426,-0.111353440455331,0.346489538414379,0.352336510540291,0.3485793701094,-0.125955536853917,0.288306215957173,0.269478925590855,0.295851158332749,0.206533300605466,0.173031068097342,0.00487995885639481,0.279002150688454,0.167625125651635,0.248281786941581,0.337471070902588,0.217567267456811,0.0128807536760408,0.23831732005517,-0.0715308460153821,0.147783855810365,-0.0121239217336419,-0.193521051032097,0.29516153540454,-0.141702901091708,0.294431002641606,-0.167055310096547,0.201019239310845,0.193930149379339,0.0695321083759964,0.143111368258644,0.251493208967436,0.320025948523739,0.22980515230147,0.272780933679314,0.289296818383711,0.0383237487434837
"JCI-IFNγ-6",0.183665610831625,0.30062107943606,0.111663871809204,0.173287373455065,0.0861809825476678,0.34792870008074,0.37904477982734,0.32925284143842,0.243997267250481,0.467710080119247,0.341115458667164,0.339786348673995,0.379858393888578,0.390503695422645,0.448437985218309,0.355953046394634,0.349555928203217,0.247785851810447,0.31825973542016,0.389851562014782,0.319595056207689,0.365374821439662,0.459083286752376,0.341773802869387,0.38495745605863,0.235755543133967,0.335258679585119,0.217160424818334,0.236339357803863,0.28516241227253,-0.0613812806657971,0.344773616545556,0.369834171790572,0.323333954412769,0.0559731567143258,0.280111087748809,0.290781819456126,0.286751822259602,0.263079969161761,0.244077656293804,0.19073275862069,0.290063428651528,0.294916947014298,0.200001752172694,0.338116764788338,0.301890594336978,0.216866414353799,0.335917788057191,0.100119147743202,0.286795626576955,0.167490187832913,-0.0381535604149145,0.433986893748248,-0.100495864872442,0.40899215026633,-0.0273864592094197,0.358617185309784,0.309381132604429,0.265165054667788,0.345169259882254,0.281652999719652,0.321514928511354,0.267004835996636,0.39903104850014,0.374229044014578,0.184792893187553
"JCI-Immunomodulation",0.0818242790073777,0.137305313361651,-0.0182576943140323,-0.0315969893434682,-0.0289142260973247,0.259619445065455,0.309946096331073,0.280336339021785,0.0658891621332937,0.446990585488238,0.271840922075664,0.279938892614949,0.266910102590854,0.279615967409395,0.382914772586134,0.267729835804953,0.289204361974315,0.0107931539856422,0.116650520406389,0.283863675882455,0.208845666592145,0.261395533696003,0.442146707404923,0.190898477283454,0.368805425143453,0.0523014630995852,0.264388801947487,0.0529845741113347,0.0810542265941327,0.167560921082048,-0.0875127307052189,0.257520431229351,0.297525896117445,0.296234195295228,-0.134799670643472,0.148779804137979,0.149270335137787,0.154683695099946,0.03359261400466,0.0321735778980746,-0.0734482577390025,0.19150855801405,0.0758658748094813,0.159606524062297,0.224671957393879,0.0950491406948021,-0.0350642070040819,0.154718733028503,-0.136061036071547,0.0623237154219443,-0.0839245983777439,-0.176196983234351,0.269765771447592,-0.159361258562394,0.268574481876631,-0.200986317688898,0.0857465706627424,0.0287398608994237,-0.0365007620749461,0.0336626898617753,0.182205987981991,0.198130726511449,0.118892451078292,0.238371787459925,0.306380406790351,-0.0281091781853857
"JCI-NK Cell Activity",-0.0406684302693841,0.128805097060248,0.0347069562949439,0.0546406348969782,-0.162003055255412,0.232031744848914,0.219438131077909,0.205484556056485,0.0841499310704572,0.238701143857819,0.213271731435597,0.219754834382801,0.185793062334662,0.236204776631022,0.261522411416223,0.164424904057528,0.207459294310518,0.0625209583069414,0.139014121241477,0.221301091694922,0.176124296732367,0.191940832370804,0.243712507917583,0.198982823503111,0.207999552889452,0.144286299787623,0.176031148701516,0.146521852528038,-0.0240694511718022,0.152185252803756,-0.0162636461865196,0.210179216811357,0.206844517306904,0.201479190729908,-0.3297771704856,0.0843231027958797,0.0192610889215893,0.0944134959007779,-0.0242537313432836,-0.029640529745638,-0.190009459743536,0.0809070842968257,-0.0619350430943872,-0.0220990119823418,0.105765188143788,-0.00136640739962163,-0.135615934412445,0.0254361992852639,-0.279693083876393,0.0292726508303552,-0.253310910237545,-0.323628337187303,0.116827832667648,-0.316927685516082,0.0797771704856002,-0.256595543409712,0.0307441664914863,-0.0338974143367669,-0.208902669749842,-0.0406243430733655,-0.0370769392474248,0.0721305444607946,-0.0628810174479714,0.120296405297456,0.105633802816901,-0.123896363254152
"JCI-T cells",0.378106718336625,0.293726944144278,0.0597309684390953,0.0460278719678057,0.0165350076387077,0.465616499608749,0.45498751723367,0.466929984722585,0.0796475015836345,0.480288407795208,0.454121175988374,0.472463390095763,0.392480530610724,0.385000186309945,0.437697954316801,0.468485672765212,0.47250996758207,0.131609345306853,0.278710362559153,0.432611692812162,0.421311994634274,0.415154450944591,0.479934418899281,0.357687148339978,0.476208219994783,0.316736222379551,0.471969668740917,0.213939710101725,0.304803070387897,0.333066289078511,-0.117049223087528,0.452258076536125,0.46412602004695,0.476562208890711,-0.154157468727005,0.419005571323452,0.44872805634395,0.446651949963208,0.340796804372963,0.288118889940082,-0.00654367707347842,0.472458740670661,0.296633554083885,0.463129401871124,0.468582466099022,0.375946073793756,0.00279880163986124,0.392607484494902,-0.0326264059707768,0.179464942709976,0.025097235362136,-0.280799957952276,0.393159360874593,-0.0775254914327762,0.422671607274256,-0.18744087038789,0.252562283191422,0.372989593188269,0.118745401030169,0.128245558709135,0.453918322295806,0.471578366445916,0.426324503311258,0.324910648586145,0.358088930936613,0.132962787764112
"T-eff",0.0971492453884852,0.228538600086951,-0.0246133780510527,0.0181230979442271,-0.0381404881684367,0.403030867647972,0.399913048878952,0.366915098441091,0.0620582572511025,0.463958760325446,0.348593255077324,0.369517421278181,0.274846282839575,0.339531706105211,0.42251412955717,0.358077138065959,0.358232407924974,0.0294453760635985,0.186777218806285,0.399652195515807,0.357648593255077,0.355630085087883,0.455580398732998,0.302273150735979,0.346009564623315,0.142078131793056,0.337090863921496,0.118067200794982,0.1950189429228,0.240022358859698,-0.1157629960872,0.392876218868393,0.364194770511148,0.355679771442768,-0.166964536024671,0.232057751611999,0.171055859265489,0.242290440145781,0.126191477432016,0.0451359686010653,-0.00424901878329131,0.244112699747687,0.0365766049901879,0.123046327446033,0.344223086627418,0.103938884216428,-0.0357881272778245,0.0770255116344267,-0.101573451079338,0.103106602186712,-0.0611595878889823,-0.164686711522288,0.265305228483319,-0.124886108774881,0.264236403139893,-0.23655207457247,0.242386809643958,0.0872231567143258,-0.0260986122792262,0.0462485982618447,0.123589500981217,0.248055088309504,0.062263456686291,0.309898023549201,0.277719372021306,0.075834034202411
"Hypoxia-12",0.275271655239562,0.299424630301221,0.323075513880455,0.3269565453392,0.293676870205959,0.218934785779955,0.205994904449955,0.235803193708929,0.218123975886039,0.237289113096106,0.254198231145278,0.19993164092317,0.232867824417252,0.258131846509277,0.284601057784623,0.186036768023558,0.164395946629032,0.258252280614858,0.238058364742322,0.247317372704543,0.221898143279268,0.242400777563296,0.259822164624941,0.22311181373763,0.220351158711796,0.26090267906516,0.212815545837899,0.314249899072827,0.247167254136318,0.269400916656206,0.277029823555554,0.222011792364817,0.216793263832112,0.196616310509657,0.294104268216772,0.182702804937609,0.162129032875899,0.148186941574174,0.201610277429302,0.154585196747843,0.297839077597847,0.141540896162723,0.196732281202417,0.157399471380826,0.151542284745698,0.201847294178486,0.249068691763309,0.174810626011511,0.222024841270601,0.303616061595625,0.203264606456432,0.301904273962633,0.244717399423499,0.223633682234757,0.18419672869004,0.282509600375396,0.241181301054365,0.215663694779886,0.205829893797344,0.227458270687492,0.153209781370005,0.141792277563372,0.158334370780384,0.253949082098771,0.257463633490706,0.188591114984247
"Chemokine-12",0.0945797157963552,0.198162654402404,0.0987544586023786,0.00671227534952001,-0.0599259097842668,0.248924774345976,0.260591689509238,0.234900964549093,-0.124751981282472,0.34130242800289,0.207151540870044,0.254054317532773,0.187226892683878,0.192711977153605,0.227560757417623,0.192852473305731,0.222173160073861,0.043679966969068,0.132852014542785,0.27955580277781,0.221691458980858,0.188302118337902,0.331582388090514,0.196416487940269,0.207031115596793,0.151403241160211,0.243155830303586,0.119699854342765,0.18786342627106,0.204246997969974,-0.203231984952575,0.256990400385361,0.225209597320824,0.197993485566171,-0.106671763321077,0.0957341811577496,0.157864825399137,0.171463993754576,0.0775156641223844,0.196502319786749,0.034736126785346,0.164454071458331,0.1576747120997,0.0970730641814409,0.179286953778198,0.132365373491734,0.0305374543424709,0.146405442903313,-0.136111009987016,0.099119815873247,-0.0321999344715862,-0.290090647639157,0.164223508520716,-0.200523013821641,0.217333883448413,-0.198031316109877,0.105175126708492,0.100450608969303,0.0713794540107838,0.0568903936154291,0.108415142726548,0.167071163048447,0.111303246892457,0.12211948014125,0.150187484072955,0.0307437474971786
