"","FD45571446","FD45571447","FD45571448","FD45571449","FD45571450","FD45571451","FD45571452","FD45571453","FD45571454","FD45571455","FD45571456","FD45571457","FD45571458","FD45571459","FD45571460","FD45571461","FD45571462","FD45571463","FD45571464","FD45571465","FD45571468","FD45571469","FD45571470","FD45571471","FD45571472","FD45571473","FD45571474","FD45571475","FD45571476","FD45571477","FD45571478","FD45571479"
"IMPRES",-0.0359828969964603,0.223281814039884,0.224876458837136,0.235919812147338,0.230084463603547,0.173630533066975,0.094115585462447,0.196726597273333,0.0945852171170224,0.218806294466057,0.263358216801598,0.179900466126941,0.100469631654575,0.184309396137805,-0.0316300424070374,0.0708442855640837,0.0239266813864648,-0.0395577051133775,0.196751130270213,-0.034602039743455,0.22956927066905,-0.0531594995268637,0.153019310973259,0.155696912347107,0.0685802404233694,0.0583254477271931,0.224445379034802,0.233953667683034,0.170360635054148,0.226618301615673,0.201482493954369,0.0595941541373147
"JCI-CYT",-0.192277383766745,0.354636196480168,0.211137378513265,0.334988179669031,0.184528500131337,0.0765169424743893,0.00701339637509846,0.290911478854741,0.0405568689256632,0.147149986866299,0.42936695560809,0.0674284213291305,-0.0263987391646966,0.0771210927239296,-0.091725768321513,0.106645652744944,-0.052534804307854,-0.180483320199632,0.311400052534804,-0.152771210927239,0.295219332807985,-0.210139217231416,0.171079590228526,0.0872340425531914,-0.0633569739952718,0.0303913842920935,0.0668768058838981,0.275413711583924,0.081297609666404,0.31090097189388,0.313606514315734,-0.0315208825847124
"JCI-Cytokine & Chemokine",-0.204381863079914,0.282824567855829,0.167078232543477,0.234750170756055,0.200520149214522,0.0927468081752745,0.0369621184258919,0.133899017495928,0.0773130877948826,0.155716387327274,0.296852834550517,0.105422161508958,0.0490595281878842,0.123312142069038,-0.0854042977985604,0.0877686124100246,-0.0614327746545474,-0.339160931014554,0.180804392371145,-0.230087216939001,0.179569694740713,-0.175300793358903,0.134476961067619,0.0965165764724426,-0.0467740240634687,0.0665817264750697,0.0560999316975779,0.222902327536384,0.0912888141648716,0.19633005831976,0.184088162664845,-0.0087479640624179
"Neoadj-IFNγ",-0.00682188469017708,0.277637042098071,0.247075208913649,0.274205076995848,0.232506438219372,0.210895043885006,0.124333841383298,0.252683029379303,0.221148893677406,0.165743417249172,0.337988122142219,0.225800178693436,0.158974089451832,0.274436327324329,0.0348767540862984,0.248341830031009,0.0825038103747306,-0.132443369947969,0.384527250748936,-0.129184842592106,0.385263047248647,-0.0853366268986178,0.308209386661061,0.238476901245598,0.158805907394755,0.25950491406948,0.199595311925159,0.288342881168865,0.201602985231513,0.37302780259631,0.35656698375992,0.110327429442371
"JCI-IFNγ-16",-0.125938389096284,0.288351998878315,0.269525795841585,0.295882480093006,0.206591653960075,0.173078383604699,0.00491321543953127,0.279042594832069,0.167659825554562,0.248327695696117,0.337507521718048,0.217609875504612,0.0129110655426444,0.238363975206081,-0.0714986767618346,0.147849226796595,-0.0121048542101174,-0.193490719806509,0.2952106373159,-0.141691641691642,0.294468689205531,-0.167052245999614,0.201059174743385,0.193969772917141,0.0695561748193327,0.143131722079091,0.251520409415146,0.320060056902162,0.229843256159046,0.27282366756051,0.289339315655105,0.0383593015171962
"JCI-IFNγ-6",0.0560138721034102,0.280139421645386,0.290823743716393,0.286768955914035,0.263114567460109,0.244110486399383,0.190767694813725,0.290096859509922,0.294957350288126,0.200077067241168,0.33815879354737,0.301919674916365,0.216882980400399,0.335951868004834,0.100143625313086,0.286839017042369,0.167481127283555,-0.0381132538139527,0.434002417108928,-0.100485173313716,0.409025624857688,-0.0273763858966949,0.358642915944161,0.309389942725028,0.265172613104934,0.345191179303943,0.281707039391869,0.321545548491058,0.267029233005798,0.399076944634193,0.374240274639623,0.184830014187378
"JCI-Immunomodulation",-0.134776365101047,0.148821407306224,0.149311757906903,0.154740639557283,0.033676578753809,0.0322405519946761,-0.0733949774088473,0.191551959651151,0.0759167804980561,0.159661658085531,0.22473818780428,0.0950579664460089,-0.0350425554271304,0.154810689643095,-0.136002241602746,0.0623971139364645,-0.0839200028020034,-0.176140940772652,0.269815418023887,-0.15934643269938,0.268642079086547,-0.200991208714231,0.0857763300760043,0.0287730727470141,-0.0364785821862632,0.0337116037967147,0.182270323281146,0.198189205281777,0.118945045707681,0.238468004623306,0.306469125424679,-0.0280725718889006
"JCI-NK Cell Activity",-0.329787234042553,0.0843708957184135,0.0193328079852902,0.0944838455476753,-0.0241660099816128,-0.0295770948253218,-0.189992119779354,0.0809824008405569,-0.061885999474652,-0.0220120830049908,0.105831363278172,-0.00128710270554244,-0.135592329918571,0.0254793800893092,-0.279669030732861,0.0293669556080903,-0.253296558970318,-0.323588127134226,0.116889939584975,-0.316916206987129,0.079826635145784,-0.256553716837405,0.0307591279222484,-0.033832413974258,-0.208878381928027,-0.0405831363278172,-0.037063304439191,0.0722090885211453,-0.0628053585500394,0.120330969267139,0.105700026267402,-0.123850801155766
"JCI-T cells",-0.154153312667472,0.419035359638523,0.448746913255924,0.44665843534913,0.340855356486103,0.288170545893974,-0.006488730100352,0.472468869857616,0.296629538170546,0.463129827142332,0.468594020911049,0.375991698628698,0.00282404245258239,0.392633846477171,-0.0325881363946829,0.179530289497189,0.0251274102873956,-0.28077549519256,0.393198654967688,-0.0775101140125046,0.422686912205117,-0.187450743445594,0.252640151316135,0.373036305364367,0.118780539063731,0.128224662428414,0.453935270319971,0.471588819418904,0.426351599852887,0.324948773183418,0.358154258393317,0.133005831976042
"T-eff",-0.166946911180005,0.232121275813147,0.171124305956947,0.242323927626854,0.126250153258718,0.045206943057818,-0.00419491005902656,0.244145516963551,0.0366156971958034,0.123123675406792,0.344271626994553,0.103979472089398,-0.035757448373706,0.0770584835268772,-0.101544847879775,0.10316501147251,-0.0611370921128685,-0.164678682150176,0.265330250643687,-0.124866445974112,0.26427933371867,-0.236570157462386,0.242464049883523,0.0872698929816265,-0.0260714973814653,0.0462666176238768,0.123649133869301,0.248068940150281,0.0622931007303873,0.309985462315871,0.277774858564097,0.075876201986233
